Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SystemAdmin-Regression-Suite,Chrome 85.0.4183.83,,,2020-08-26 18:28:30,2020-08-26 18:37:06,8m - 36.059s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/SysAdmin/ReferencePage/FDR-SystemAdmin-Populate-Details,Chrome 85.0.4183.83,https://ca-mmisds.atlassian.net/browse/FDR-2569,,2020-08-26 18:28:31,2020-08-26 18:28:52,21.661s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:28:31,2020-08-26 18:28:31,0.004s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:28:31,2020-08-26 18:28:47,16.441s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:28:47,2020-08-26 18:28:47,0.009s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-08-26 18:28:47,2020-08-26 18:28:47,0.016s,PASSED
"taskName = ""Reference Data""",Chrome 85.0.4183.83,,,2020-08-26 18:28:47,2020-08-26 18:28:47,0.001s,PASSED
"verifyElementText(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataTxt""), taskName)",Chrome 85.0.4183.83,,,2020-08-26 18:28:47,2020-08-26 18:28:47,0.062s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataBtn""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:47,2020-08-26 18:28:47,0.133s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/reference-data""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:47,2020-08-26 18:28:48,0.132s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/account""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.146s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.105s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.077s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/altAccount""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.101s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.094s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.067s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contact""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.114s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.089s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:48,0.077s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contract""))",Chrome 85.0.4183.83,,,2020-08-26 18:28:48,2020-08-26 18:28:49,0.104s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-08-26 18:28:49,2020-08-26 18:28:49,0.107s,PASSED
