Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Voucher-Regression-Suite,Chrome 85.0.4183.83,,,2020-08-26 18:42:48,2020-08-26 19:11:16,28m - 27.767s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Validate-Pagination,Chrome 85.0.4183.83,,,2020-08-26 18:42:49,2020-08-26 18:43:23,34.497s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:42:49,2020-08-26 18:42:49,0.005s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:42:49,2020-08-26 18:42:49,0.004s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:42:49,2020-08-26 18:43:03,14.364s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-08-26 18:43:03,2020-08-26 18:43:03,0.008s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.83,,,2020-08-26 18:43:03,2020-08-26 18:43:03,0.135s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 3)",Chrome 85.0.4183.83,,,2020-08-26 18:43:03,2020-08-26 18:43:07,3.294s,PASSED
"scrollToPosition(99999, 99999, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-08-26 18:43:07,2020-08-26 18:43:07,0.018s,PASSED
"verifyElementVisible(findTestObject(""FDR-Dashboard/Pagination/rowsPerPage""), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-08-26 18:43:07,2020-08-26 18:43:07,0.073s,PASSED
"verifyElementText(findTestObject(""FDR-Dashboard/Pagination/listBox""), ""10"")",Chrome 85.0.4183.83,,,2020-08-26 18:43:07,2020-08-26 18:43:07,0.060s,PASSED
"paginationIndicatorText = getText(findTestObject(""FDR-Dashboard/Pagination/paginationIndicator""))",Chrome 85.0.4183.83,,,2020-08-26 18:43:07,2020-08-26 18:43:07,0.048s,PASSED
"totalVouchers = paginationIndicatorText.split(""of "")[1]",Chrome 85.0.4183.83,,,2020-08-26 18:43:07,2020-08-26 18:43:07,0.001s,PASSED
"rowsPerPage = getText(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.83,,,2020-08-26 18:43:07,2020-08-26 18:43:07,0.040s,PASSED
