Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receipt-Regression-Suite,Chrome 85.0.4183.83,,,2020-08-26 19:15:53,2020-08-26 19:34:09,18m - 16.075s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Create-Receipt-Header,Chrome 85.0.4183.83,,,2020-08-26 19:15:53,2020-08-26 19:16:32,38.901s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:15:53,2020-08-26 19:16:11,17.638s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:11,2020-08-26 19:16:11,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:11,2020-08-26 19:16:11,0.003s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-08-26 19:16:11,2020-08-26 19:16:11,0.055s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.83,,,2020-08-26 19:16:12,2020-08-26 19:16:17,5.584s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""), 3)",Chrome 85.0.4183.83,,,2020-08-26 19:16:17,2020-08-26 19:16:17,0.276s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""))",Chrome 85.0.4183.83,,,2020-08-26 19:16:17,2020-08-26 19:16:18,0.424s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), 3)",Chrome 85.0.4183.83,,,2020-08-26 19:16:18,2020-08-26 19:16:18,0.466s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), Drawdate)",Chrome 85.0.4183.83,,,2020-08-26 19:16:18,2020-08-26 19:16:19,0.981s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), 3)",Chrome 85.0.4183.83,,,2020-08-26 19:16:19,2020-08-26 19:16:20,0.470s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), Paydate)",Chrome 85.0.4183.83,,,2020-08-26 19:16:20,2020-08-26 19:16:20,0.578s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), 10)",Chrome 85.0.4183.83,,,2020-08-26 19:16:20,2020-08-26 19:16:21,0.260s,PASSED
depositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.83,,,2020-08-26 19:16:21,2020-08-26 19:16:21,0.003s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), depositId)",Chrome 85.0.4183.83,,,2020-08-26 19:16:21,2020-08-26 19:16:21,0.751s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-ReceiptBatch/receiptNotes""), 10)",Chrome 85.0.4183.83,,,2020-08-26 19:16:21,2020-08-26 19:16:22,0.487s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-ReceiptBatch/receiptNotes""), Receiptnotes)",Chrome 85.0.4183.83,,,2020-08-26 19:16:22,2020-08-26 19:16:23,0.757s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/buttonNext""), 10)",Chrome 85.0.4183.83,,,2020-08-26 19:16:23,2020-08-26 19:16:23,0.468s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/buttonNext""))",Chrome 85.0.4183.83,,,2020-08-26 19:16:23,2020-08-26 19:16:23,0.425s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.83,,,2020-08-26 19:16:23,2020-08-26 19:16:30,6.594s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/pDrawDate""), 2)",Chrome 85.0.4183.83,,,2020-08-26 19:16:30,2020-08-26 19:16:30,0.281s,PASSED
"if (getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/pDrawDate"")) == findTestData(""Receipt/FDR-ReceiptHeaderTestData"").getValue(1, 1))",Chrome 85.0.4183.83,,,2020-08-26 19:16:30,2020-08-26 19:16:31,0.295s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/payDate""), 2)",Chrome 85.0.4183.83,,,2020-08-26 19:16:31,2020-08-26 19:16:31,0.258s,PASSED
"if (getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/payDate"")) == findTestData(""Receipt/FDR-ReceiptHeaderTestData"").getValue(2, 1))",Chrome 85.0.4183.83,,,2020-08-26 19:16:31,2020-08-26 19:16:31,0.302s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/depositId""), 2)",Chrome 85.0.4183.83,,,2020-08-26 19:16:31,2020-08-26 19:16:31,0.285s,PASSED
"if (getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/depositId"")) == depositId)",Chrome 85.0.4183.83,,,2020-08-26 19:16:31,2020-08-26 19:16:32,0.279s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:16:32,0.585s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:16:32,0.008s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:16:32,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:16:32,0.001s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:16:32,0.001s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Display-Receipt-Header,Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:17:07,35.141s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:32,2020-08-26 19:16:48,15.379s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:48,2020-08-26 19:16:48,0.000s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 19:16:48,2020-08-26 19:16:48,0.001s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-08-26 19:16:48,2020-08-26 19:16:48,0.003s,PASSED
newDepositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.83,,,2020-08-26 19:16:48,2020-08-26 19:16:48,0.001s,PASSED
