Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
FDR_END_2_END,Chrome 85.0.4183.83,,,2020-08-26 22:12:15,2020-08-26 22:19:31,7m - 16.153s,PASSED
,,,,,,,
Test Cases/FDR_END_2_END/FDR-END_2_END_Voucher_Reject,Chrome 85.0.4183.83,FDR-END_2_END_Voucher_Reject,,2020-08-26 22:12:15,2020-08-26 22:16:45,4m - 29.542s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 22:12:15,2020-08-26 22:12:15,0.004s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 22:12:15,2020-08-26 22:12:15,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-08-26 22:12:15,2020-08-26 22:12:15,0.008s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-08-26 22:12:15,2020-08-26 22:12:15,0.012s,PASSED
"Datasheet = findTestData(""End_2_End/End_2_End_Voucher"")",Chrome 85.0.4183.83,,,2020-08-26 22:12:16,2020-08-26 22:12:16,0.400s,PASSED
"commonFunctions.login(superUserAccnt, superUserPwd)",Chrome 85.0.4183.83,,,2020-08-26 22:12:16,2020-08-26 22:12:31,15.203s,PASSED
"commonFunctions.selectRole(""accountsPayableProcessor"")",Chrome 85.0.4183.83,,,2020-08-26 22:12:31,2020-08-26 22:12:41,10.006s,PASSED
"click(findTestObject(""Object Repository/FDR-Dashboard/createNewVoucherButton""))",Chrome 85.0.4183.83,,,2020-08-26 22:12:41,2020-08-26 22:12:42,0.455s,PASSED
"setText(findTestObject(""FDR-VoucherEntry/Voucher/drawDate""), Datasheet.getValue(""drawDate"", 1))",Chrome 85.0.4183.83,,,2020-08-26 22:12:42,2020-08-26 22:12:43,1.421s,PASSED
"setText(findTestObject(""FDR-VoucherEntry/Voucher/payDate""), Datasheet.getValue(""payDate"", 1))",Chrome 85.0.4183.83,,,2020-08-26 22:12:43,2020-08-26 22:12:44,0.783s,PASSED
"click(findTestObject(""FDR-VoucherEntry/Voucher/programType""))",Chrome 85.0.4183.83,,,2020-08-26 22:12:44,2020-08-26 22:12:44,0.333s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/programType""), 2)",Chrome 85.0.4183.83,,,2020-08-26 22:12:44,2020-08-26 22:12:45,0.481s,PASSED
"setText(findTestObject(""FDR-VoucherEntry/Voucher/programType""), Datasheet.getValue(""programType"", 1))",Chrome 85.0.4183.83,,,2020-08-26 22:12:45,2020-08-26 22:12:45,0.647s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/programType""), 3)",Chrome 85.0.4183.83,,,2020-08-26 22:12:45,2020-08-26 22:12:46,0.355s,PASSED
"sendKeys(findTestObject(""FDR-VoucherEntry/Voucher/programType""), Keys.chord(DOWN, ENTER))",Chrome 85.0.4183.83,,,2020-08-26 22:12:46,2020-08-26 22:12:46,0.336s,PASSED
"click(findTestObject(""FDR-VoucherEntry/Voucher/invoiceType""))",Chrome 85.0.4183.83,,,2020-08-26 22:12:46,2020-08-26 22:12:47,0.557s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/invoiceType""), 2)",Chrome 85.0.4183.83,,,2020-08-26 22:12:47,2020-08-26 22:12:47,0.479s,PASSED
"sendKeys(findTestObject(""FDR-VoucherEntry/Voucher/invoiceType""), Datasheet.getValue(""invoiceType"", 1))",Chrome 85.0.4183.83,,,2020-08-26 22:12:47,2020-08-26 22:12:47,0.316s,PASSED
"sendKeys(findTestObject(""FDR-VoucherEntry/Voucher/invoiceType""), Keys.chord(DOWN, ENTER))",Chrome 85.0.4183.83,,,2020-08-26 22:12:47,2020-08-26 22:12:48,0.566s,PASSED
"click(findTestObject(""FDR-VoucherEntry/Voucher/fundcode""))",Chrome 85.0.4183.83,,,2020-08-26 22:12:48,2020-08-26 22:12:49,0.549s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/fundcode""), 1)",Chrome 85.0.4183.83,,,2020-08-26 22:12:49,2020-08-26 22:12:49,0.488s,PASSED
"sendKeys(findTestObject(""FDR-VoucherEntry/Voucher/fundcode""), Datasheet.getValue(""fundcode"", 1))",Chrome 85.0.4183.83,,,2020-08-26 22:12:49,2020-08-26 22:12:49,0.367s,PASSED
"sendKeys(findTestObject(""FDR-VoucherEntry/Voucher/fundcode""), Keys.chord(DOWN, ENTER))",Chrome 85.0.4183.83,,,2020-08-26 22:12:49,2020-08-26 22:12:50,0.484s,PASSED
"click(findTestObject(""FDR-VoucherEntry/Voucher/supplierID""))",Chrome 85.0.4183.83,,,2020-08-26 22:12:50,2020-08-26 22:12:51,0.586s,PASSED
