Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Draw-Integration_Suite,Chrome 85.0.4183.83,,,2020-09-08 11:32:18,2020-09-08 11:52:21,20m - 3.250s,ERROR
,,,,,,,
Test Cases/WEB-UI-TESTS/Draw/FDR-Draw-Voucher-Date-Validation,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:34:29,2m - 9.764s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:19,0.013s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:19,0.005s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:39,20.088s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-09-08 11:32:39,2020-09-08 11:32:39,0.039s,PASSED
"voucherHeaderData = [""drawDate"":drawDate, ""payDate"":payDate, ""programType"":programType, ""invoiceType"":invoiceType, ""fundCode"":fundCode, ""supplier"":supplier, ... ]",Chrome 85.0.4183.83,,,2020-09-08 11:32:40,2020-09-08 11:32:40,0.001s,PASSED
Uifunctions.createVoucherHeader(voucherHeaderData),Chrome 85.0.4183.83,,,2020-09-08 11:32:40,2020-09-08 11:33:19,39.780s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/VoucherHeader/reviewButton""), 5)",Chrome 85.0.4183.83,,,2020-09-08 11:33:19,2020-09-08 11:33:20,0.267s,PASSED
"voucherDrawDate = getText(findTestObject(""FDR-VoucherEntry/VoucherHeader/drawDate""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:20,2020-09-08 11:33:20,0.292s,PASSED
Uifunctions.createInvoiceLine(1),Chrome 85.0.4183.83,,,2020-09-08 11:33:20,2020-09-08 11:33:29,9.013s,PASSED
"waitForElementClickable(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""), 5)",Chrome 85.0.4183.83,,,2020-09-08 11:33:29,2020-09-08 11:33:29,0.267s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:29,2020-09-08 11:33:30,0.415s,PASSED
"waitForElementClickable(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceAddlineButton""), 5)",Chrome 85.0.4183.83,,,2020-09-08 11:33:30,2020-09-08 11:33:31,0.914s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceAddlineButton""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:31,2020-09-08 11:33:31,0.581s,PASSED
"Uifunctions.createDistributionLines(1, ""Voucher/FDR-DL"")",Chrome 85.0.4183.83,,,2020-09-08 11:33:31,2020-09-08 11:34:28,57.028s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:34:28,2020-09-08 11:34:28,0.003s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:34:28,2020-09-08 11:34:28,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:34:28,2020-09-08 11:34:29,0.775s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.83,,,2020-09-08 11:34:29,2020-09-08 11:34:29,0.001s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Draw/FDR-Draw-Receipts-Date-Validation,Chrome 85.0.4183.83,,,2020-09-08 11:34:29,2020-09-08 11:35:48,1m - 18.479s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:34:29,2020-09-08 11:34:29,0.003s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:34:29,2020-09-08 11:34:29,0.000s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:34:29,2020-09-08 11:34:45,15.636s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-09-08 11:34:45,2020-09-08 11:34:45,0.001s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 3)",Chrome 85.0.4183.83,,,2020-09-08 11:34:45,2020-09-08 11:34:50,4.287s,PASSED
newDepositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.83,,,2020-09-08 11:34:50,2020-09-08 11:34:50,0.000s,PASSED
"editors.createReceipt(Drawdate, Paydate, newDepositId, Receiptnotes, Remittance, Controller)",Chrome 85.0.4183.83,,,2020-09-08 11:34:50,2020-09-08 11:35:06,16.109s,PASSED
"editors.createReceiptline(ReceiptID, SupplierID, DepositDate)",Chrome 85.0.4183.83,,,2020-09-08 11:35:06,2020-09-08 11:35:16,10.225s,PASSED
d = Date().plus(1),Chrome 85.0.4183.83,,,2020-09-08 11:35:16,2020-09-08 11:35:16,0.000s,PASSED
dd = Date().plus(2),Chrome 85.0.4183.83,,,2020-09-08 11:35:16,2020-09-08 11:35:16,0.001s,PASSED
"servicedatefrom = d.format(""MM/dd/yyyy"")",Chrome 85.0.4183.83,,,2020-09-08 11:35:16,2020-09-08 11:35:16,0.000s,PASSED
"servicedateto = dd.format(""MM/dd/yyyy"")",Chrome 85.0.4183.83,,,2020-09-08 11:35:16,2020-09-08 11:35:16,0.001s,PASSED
"originalwarrantdate = dd.format(""MM/dd/yyyy"")",Chrome 85.0.4183.83,,,2020-09-08 11:35:16,2020-09-08 11:35:16,0.000s,PASSED
"verifyElementClickable(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/arrow_Down_Receipts""), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-08 11:35:16,2020-09-08 11:35:17,0.762s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-DistributionLine/FDR-AddEdit-DistributionLine/arrow_Down_Receipts""), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-08 11:35:17,2020-09-08 11:35:17,0.321s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Checkline/View/deposit_Control_Amount""), 10)",Chrome 85.0.4183.83,,,2020-09-08 11:35:17,2020-09-08 11:35:18,0.481s,PASSED
"Receipttotalbefaddwith$ = getText(findTestObject(""FDR-Receipt/FDR-Receipt-Checkline/View/deposit_Control_Amount""))",Chrome 85.0.4183.83,,,2020-09-08 11:35:18,2020-09-08 11:35:18,0.457s,PASSED
Receipttotalbefaddwithout$ = Receipttotalbefaddwith$.substring(1),Chrome 85.0.4183.83,,,2020-09-08 11:35:18,2020-09-08 11:35:18,0.001s,PASSED
"ReceipttotalbefaddwithoutComma = Receipttotalbefaddwithout$.replaceAll("","", """")",Chrome 85.0.4183.83,,,2020-09-08 11:35:18,2020-09-08 11:35:18,0.003s,PASSED
