Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receipt-Integration_Suite,Chrome 85.0.4183.83,,,2020-09-08 11:32:18,2020-09-08 11:50:48,18m - 29.949s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Create-Receipt-Header,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:59,40.013s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:39,20.480s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:39,2020-09-08 11:32:39,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:39,2020-09-08 11:32:39,0.004s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-09-08 11:32:39,2020-09-08 11:32:39,0.044s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.83,,,2020-09-08 11:32:40,2020-09-08 11:32:45,5.263s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""), 3)",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:45,0.260s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:46,0.401s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), 3)",Chrome 85.0.4183.83,,,2020-09-08 11:32:46,2020-09-08 11:32:46,0.458s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), Drawdate)",Chrome 85.0.4183.83,,,2020-09-08 11:32:46,2020-09-08 11:32:47,1.014s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), 3)",Chrome 85.0.4183.83,,,2020-09-08 11:32:47,2020-09-08 11:32:48,0.480s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), Paydate)",Chrome 85.0.4183.83,,,2020-09-08 11:32:48,2020-09-08 11:32:48,0.564s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), 10)",Chrome 85.0.4183.83,,,2020-09-08 11:32:48,2020-09-08 11:32:48,0.253s,PASSED
depositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.83,,,2020-09-08 11:32:48,2020-09-08 11:32:48,0.003s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), depositId)",Chrome 85.0.4183.83,,,2020-09-08 11:32:48,2020-09-08 11:32:49,0.785s,PASSED
