Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SystemAdmin-Integration_Suite,Chrome 85.0.4183.83,,,2020-09-08 11:32:17,2020-09-08 11:46:23,14m - 5.927s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/SysAdmin/ReferencePage/FDR-SystemAdmin-Populate-Details,Chrome 85.0.4183.83,https://ca-mmisds.atlassian.net/browse/FDR-2569,,2020-09-08 11:32:18,2020-09-08 11:33:10,52.610s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:18,2020-09-08 11:32:18,0.020s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:18,2020-09-08 11:32:43,24.797s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:43,2020-09-08 11:32:43,0.010s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-09-08 11:32:43,2020-09-08 11:32:43,0.020s,PASSED
"taskName = ""Reference Data""",Chrome 85.0.4183.83,,,2020-09-08 11:32:43,2020-09-08 11:32:43,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataTxt""), taskName)",Chrome 85.0.4183.83,,,2020-09-08 11:32:43,2020-09-08 11:32:43,0.284s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataBtn""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:43,2020-09-08 11:32:44,0.346s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/reference-data""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:44,2020-09-08 11:32:44,0.522s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/account""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:44,2020-09-08 11:32:45,0.566s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:45,0.849s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:46,0.290s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/altAccount""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:46,2020-09-08 11:32:46,0.529s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-09-08 11:32:46,2020-09-08 11:32:47,0.851s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:47,2020-09-08 11:32:47,0.307s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contact""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:47,2020-09-08 11:32:48,0.525s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-09-08 11:32:48,2020-09-08 11:32:49,0.843s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:49,2020-09-08 11:32:49,0.297s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contract""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:49,2020-09-08 11:32:50,0.565s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-09-08 11:32:50,2020-09-08 11:32:50,0.751s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:50,2020-09-08 11:32:51,0.288s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fdrAppropriationReference""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:51,2020-09-08 11:32:51,0.521s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.83,,,2020-09-08 11:32:51,2020-09-08 11:32:52,0.785s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:52,2020-09-08 11:32:52,0.281s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fundCode""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:52,2020-09-08 11:32:53,0.533s,PASSED
