Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Voucher-Integration_Suite,Chrome 85.0.4183.83,,,2020-09-08 11:32:18,2020-09-08 12:25:04,52m - 45.942s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Validate-Pagination,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:33:12,53.511s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:19,0.018s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:19,0.004s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:19,2020-09-08 11:32:39,20.458s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-09-08 11:32:39,2020-09-08 11:32:39,0.018s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:32:39,2020-09-08 11:32:40,0.247s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 3)",Chrome 85.0.4183.83,,,2020-09-08 11:32:40,2020-09-08 11:32:44,4.218s,PASSED
"scrollToPosition(99999, 99999, STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-08 11:32:44,2020-09-08 11:32:44,0.015s,PASSED
"verifyElementVisible(findTestObject(""FDR-Dashboard/Pagination/rowsPerPage""), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-08 11:32:44,2020-09-08 11:32:44,0.277s,PASSED
"verifyElementText(findTestObject(""FDR-Dashboard/Pagination/listBox""), ""10"")",Chrome 85.0.4183.83,,,2020-09-08 11:32:44,2020-09-08 11:32:44,0.273s,PASSED
"paginationIndicatorText = getText(findTestObject(""FDR-Dashboard/Pagination/paginationIndicator""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:44,2020-09-08 11:32:45,0.266s,PASSED
"totalVouchers = paginationIndicatorText.split(""of "")[1]",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:45,0.001s,PASSED
"rowsPerPage = getText(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:45,0.256s,PASSED
"assert validators.validateDashboardPagination(totalVouchers, rowsPerPage) == true",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:45,0.242s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.83,,,2020-09-08 11:32:45,2020-09-08 11:32:48,3.186s,PASSED
if (totalVouchers > 10),Chrome 85.0.4183.83,,,2020-09-08 11:32:48,2020-09-08 11:32:56,7.281s,PASSED
"markPassed(""Pagination Validation for 10 rows per page"")",Chrome 85.0.4183.83,,,2020-09-08 11:32:56,2020-09-08 11:32:56,0.001s,PASSED
"scrollToElement(findTestObject(""FDR-Dashboard/Pagination/listBox""), 3)",Chrome 85.0.4183.83,,,2020-09-08 11:32:56,2020-09-08 11:32:56,0.278s,PASSED
"click(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.83,,,2020-09-08 11:32:56,2020-09-08 11:32:56,0.297s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/Pagination/listBox""), 2)",Chrome 85.0.4183.83,,,2020-09-08 11:32:56,2020-09-08 11:32:57,0.465s,PASSED
"click(findTestObject(""FDR-Dashboard/Pagination/listbox25""), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-08 11:32:57,2020-09-08 11:32:57,0.362s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.83,,,2020-09-08 11:32:57,2020-09-08 11:33:00,3.061s,PASSED
"rowsPerPage = getText(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:00,2020-09-08 11:33:00,0.263s,PASSED
"assert validators.validateDashboardPagination(totalVouchers, rowsPerPage) == true",Chrome 85.0.4183.83,,,2020-09-08 11:33:00,2020-09-08 11:33:01,0.305s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.83,,,2020-09-08 11:33:01,2020-09-08 11:33:04,3.399s,PASSED
if (totalVouchers > 25),Chrome 85.0.4183.83,,,2020-09-08 11:33:04,2020-09-08 11:33:11,7.366s,PASSED
"markPassed(""Pagination Validation for 25 rows per page"")",Chrome 85.0.4183.83,,,2020-09-08 11:33:11,2020-09-08 11:33:11,0.002s,PASSED
Start tear down : tearDownTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:11,2020-09-08 11:33:11,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:11,2020-09-08 11:33:11,0.003s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:11,2020-09-08 11:33:11,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:11,2020-09-08 11:33:12,0.740s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.83,,,2020-09-08 11:33:12,2020-09-08 11:33:12,0.001s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Error-Validation,Chrome 85.0.4183.83,,,2020-09-08 11:33:12,2020-09-08 11:36:49,3m - 36.420s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:12,2020-09-08 11:33:12,0.002s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:12,2020-09-08 11:33:12,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:12,2020-09-08 11:33:28,15.463s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.83,,,2020-09-08 11:33:28,2020-09-08 11:33:28,0.016s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.83,,,2020-09-08 11:33:28,2020-09-08 11:33:28,0.000s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 8)",Chrome 85.0.4183.83,,,2020-09-08 11:33:28,2020-09-08 11:33:30,2.006s,PASSED
"click(findTestObject(""FDR-Dashboard/createNewVoucherButton""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:30,2020-09-08 11:33:31,0.876s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.83,,,2020-09-08 11:33:31,2020-09-08 11:33:34,3.253s,PASSED
vmessage = RandomStringUtils.randomAlphabetic(232),Chrome 85.0.4183.83,,,2020-09-08 11:33:34,2020-09-08 11:33:34,0.009s,PASSED
"setText(findTestObject(""FDR-VoucherEntry/Voucher/vendorMessage""), vmessage)",Chrome 85.0.4183.83,,,2020-09-08 11:33:34,2020-09-08 11:33:41,7.271s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/buttonNext""), 2)",Chrome 85.0.4183.83,,,2020-09-08 11:33:41,2020-09-08 11:33:42,0.368s,PASSED
"click(findTestObject(""FDR-VoucherEntry/Voucher/buttonNext""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:42,2020-09-08 11:33:42,0.426s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/VoucherErrorMessages/drawDateErr""), STOP_ON_FAILURE)",Chrome 85.0.4183.83,,,2020-09-08 11:33:42,2020-09-08 11:33:43,0.919s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/VoucherErrorMessages/payDateErr""))",Chrome 85.0.4183.83,,,2020-09-08 11:33:43,2020-09-08 11:33:43,0.293s,PASSED
