Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Draw-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-18 09:10:20,2020-09-18 09:11:00,39.329s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Draw/FDR-Draw-Tabs,Chrome 85.0.4183.102,,,2020-09-18 09:10:20,2020-09-18 09:11:00,39.086s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 09:10:21,2020-09-18 09:10:21,0.005s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 09:10:21,2020-09-18 09:10:21,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 09:10:21,2020-09-18 09:10:41,20.491s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-18 09:10:41,2020-09-18 09:10:41,0.015s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:41,2020-09-18 09:10:44,3.268s,PASSED
"click(findTestObject(""FDR-Draw/CompletedTabs/completedTab""))",Chrome 85.0.4183.102,,,2020-09-18 09:10:44,2020-09-18 09:10:45,0.334s,PASSED
"waitForElementPresent(findTestObject(""FDR-Draw/reconcileButton""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:45,2020-09-18 09:10:48,3.237s,PASSED
"verifyElementPresent(findTestObject(""FDR-Draw/CompletedTabs/drawDate""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:48,2020-09-18 09:10:48,0.282s,PASSED
"waitForElementPresent(findTestObject(""FDR-Draw/reconcileButton""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:48,2020-09-18 09:10:51,3.151s,PASSED
"verifyElementPresent(findTestObject(""FDR-Draw/CompletedTabs/drawDateLabel""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:51,2020-09-18 09:10:52,0.284s,PASSED
"verifyElementPresent(findTestObject(""FDR-Draw/CompletedTabs/depositDate""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:52,2020-09-18 09:10:52,0.271s,PASSED
"waitForElementPresent(findTestObject(""FDR-Draw/reconcileButton""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:52,2020-09-18 09:10:55,3.209s,PASSED
"verifyElementPresent(findTestObject(""FDR-Draw/CompletedTabs/depositDateLabel""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:55,2020-09-18 09:10:55,0.274s,PASSED
"verifyElementPresent(findTestObject(""FDR-Draw/CompletedTabs/transactionRequest1""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:55,2020-09-18 09:10:56,0.261s,PASSED
"waitForElementPresent(findTestObject(""FDR-Draw/reconcileButton""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:56,2020-09-18 09:10:59,3.093s,PASSED
"verifyElementPresent(findTestObject(""FDR-Draw/CompletedTabs/transactionRequest1Label1""), 2)",Chrome 85.0.4183.102,,,2020-09-18 09:10:59,2020-09-18 09:10:59,0.269s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-18 09:10:59,2020-09-18 09:10:59,0.001s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-18 09:10:59,2020-09-18 09:10:59,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-18 09:10:59,2020-09-18 09:11:00,0.591s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-18 09:11:00,2020-09-18 09:11:00,0.001s,PASSED
