Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Voucher-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-20 18:56:07,2020-09-20 18:58:33,2m - 25.766s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Create-Simple-Voucher,Chrome 85.0.4183.102,,,2020-09-20 18:56:08,2020-09-20 18:58:33,2m - 24.989s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:56:08,2020-09-20 18:56:08,0.010s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:56:08,2020-09-20 18:56:08,0.003s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:56:08,2020-09-20 18:56:28,20.166s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-20 18:56:28,2020-09-20 18:56:28,0.056s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:56:28,2020-09-20 18:56:29,0.244s,PASSED
"voucherHeaderData = [""drawDate"":drawDate, ""payDate"":payDate, ""programType"":programType, ""invoiceType"":invoiceType, ""fundCode"":fundCode, ""supplier"":supplier, ... ]",Chrome 85.0.4183.102,,,2020-09-20 18:56:29,2020-09-20 18:56:29,0.001s,PASSED
Uifunctions.createVoucherHeader(voucherHeaderData),Chrome 85.0.4183.102,,,2020-09-20 18:56:29,2020-09-20 18:57:12,43.666s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.102,,,2020-09-20 18:57:12,2020-09-20 18:57:18,5.205s,PASSED
Uifunctions.createInvoiceLine(1),Chrome 85.0.4183.102,,,2020-09-20 18:57:18,2020-09-20 18:57:30,12.504s,PASSED
"waitForElementClickable(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""), 5)",Chrome 85.0.4183.102,,,2020-09-20 18:57:30,2020-09-20 18:57:30,0.265s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""))",Chrome 85.0.4183.102,,,2020-09-20 18:57:30,2020-09-20 18:57:31,0.335s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.102,,,2020-09-20 18:57:31,2020-09-20 18:57:36,5.163s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceAddlineButton""))",Chrome 85.0.4183.102,,,2020-09-20 18:57:36,2020-09-20 18:57:36,0.529s,PASSED
"Uifunctions.createDistributionLines(1, ""Voucher/FDR-DL"")",Chrome 85.0.4183.102,,,2020-09-20 18:57:36,2020-09-20 18:58:32,55.986s,PASSED
Start tear down : tearDownTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:58:32,2020-09-20 18:58:32,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:58:32,2020-09-20 18:58:32,0.003s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:58:32,2020-09-20 18:58:32,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-20 18:58:32,2020-09-20 18:58:33,0.721s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-20 18:58:33,2020-09-20 18:58:33,0.003s,PASSED
