Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receipt-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-21 15:01:44,2020-09-21 15:19:15,17m - 31.184s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Create-Receipt-Header,Chrome 85.0.4183.102,,,2020-09-21 15:01:44,2020-09-21 15:02:23,38.848s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-21 15:01:44,2020-09-21 15:02:04,19.564s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-21 15:02:04,2020-09-21 15:02:04,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-21 15:02:04,2020-09-21 15:02:04,0.002s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-21 15:02:04,2020-09-21 15:02:04,0.028s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.102,,,2020-09-21 15:02:04,2020-09-21 15:02:09,5.268s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""), 3)",Chrome 85.0.4183.102,,,2020-09-21 15:02:09,2020-09-21 15:02:09,0.283s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""))",Chrome 85.0.4183.102,,,2020-09-21 15:02:09,2020-09-21 15:02:10,0.459s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), 3)",Chrome 85.0.4183.102,,,2020-09-21 15:02:10,2020-09-21 15:02:10,0.488s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), Drawdate)",Chrome 85.0.4183.102,,,2020-09-21 15:02:10,2020-09-21 15:02:11,1.017s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), 3)",Chrome 85.0.4183.102,,,2020-09-21 15:02:11,2020-09-21 15:02:12,0.465s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), Paydate)",Chrome 85.0.4183.102,,,2020-09-21 15:02:12,2020-09-21 15:02:12,0.573s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), 10)",Chrome 85.0.4183.102,,,2020-09-21 15:02:12,2020-09-21 15:02:13,0.252s,PASSED
depositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.102,,,2020-09-21 15:02:13,2020-09-21 15:02:13,0.004s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), depositId)",Chrome 85.0.4183.102,,,2020-09-21 15:02:13,2020-09-21 15:02:13,0.772s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-ReceiptBatch/receiptNotes""), 10)",Chrome 85.0.4183.102,,,2020-09-21 15:02:13,2020-09-21 15:02:14,0.482s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-ReceiptBatch/receiptNotes""), Receiptnotes)",Chrome 85.0.4183.102,,,2020-09-21 15:02:14,2020-09-21 15:02:15,0.688s,PASSED
