Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SystemAdmin-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-15 14:22:11,2020-09-15 14:36:23,14m - 11.231s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/SysAdmin/ReferencePage/FDR-SystemAdmin-Populate-Details,Chrome 85.0.4183.102,https://ca-mmisds.atlassian.net/browse/FDR-2569,,2020-09-15 14:22:12,2020-09-15 14:23:03,50.835s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:12,2020-09-15 14:22:12,0.004s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:12,2020-09-15 14:22:34,21.957s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:34,2020-09-15 14:22:34,0.019s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-15 14:22:34,2020-09-15 14:22:34,0.063s,PASSED
"taskName = ""Reference Data""",Chrome 85.0.4183.102,,,2020-09-15 14:22:34,2020-09-15 14:22:34,0.001s,PASSED
"verifyElementText(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataTxt""), taskName)",Chrome 85.0.4183.102,,,2020-09-15 14:22:34,2020-09-15 14:22:35,0.327s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataBtn""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:35,2020-09-15 14:22:35,0.381s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/reference-data""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:35,2020-09-15 14:22:35,0.488s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/account""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:35,2020-09-15 14:22:36,0.532s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:36,2020-09-15 14:22:37,0.876s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:37,2020-09-15 14:22:37,0.343s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/altAccount""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:37,2020-09-15 14:22:38,0.527s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:38,2020-09-15 14:22:38,0.763s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:38,2020-09-15 14:22:39,0.293s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contact""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:39,2020-09-15 14:22:39,0.543s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:39,2020-09-15 14:22:40,0.854s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:40,2020-09-15 14:22:40,0.276s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contract""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:40,2020-09-15 14:22:41,0.533s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:41,2020-09-15 14:22:42,0.848s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:42,2020-09-15 14:22:42,0.280s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fdrAppropriationReference""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:42,2020-09-15 14:22:43,0.551s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:43,2020-09-15 14:22:43,0.852s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:43,2020-09-15 14:22:44,0.289s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fundCode""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:44,2020-09-15 14:22:44,0.525s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:44,2020-09-15 14:22:45,0.848s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:45,2020-09-15 14:22:45,0.311s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fund""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:45,2020-09-15 14:22:46,0.546s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:46,2020-09-15 14:22:47,0.775s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:47,2020-09-15 14:22:47,0.282s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fundRatio""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:47,2020-09-15 14:22:48,0.540s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:48,2020-09-15 14:22:48,0.872s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:48,2020-09-15 14:22:49,0.282s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fundingSource""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:49,2020-09-15 14:22:49,0.551s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:49,2020-09-15 14:22:50,0.839s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:50,2020-09-15 14:22:50,0.293s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/increaseDecreaseLineNumber""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:50,2020-09-15 14:22:51,0.552s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:51,2020-09-15 14:22:52,0.832s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:52,2020-09-15 14:22:52,0.273s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/invoiceType""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:52,2020-09-15 14:22:53,0.517s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:53,2020-09-15 14:22:53,0.868s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:53,2020-09-15 14:22:54,0.291s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/programType""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:54,2020-09-15 14:22:54,0.527s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:54,2020-09-15 14:22:55,1.111s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:55,2020-09-15 14:22:56,0.402s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/serviceCategory""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:56,2020-09-15 14:22:56,0.564s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:56,2020-09-15 14:22:57,0.953s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:57,2020-09-15 14:22:58,0.282s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/supplier""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:58,2020-09-15 14:22:58,0.543s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:22:58,2020-09-15 14:22:59,0.834s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:59,2020-09-15 14:22:59,0.276s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/waiverName""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:59,2020-09-15 14:23:00,0.613s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-15 14:23:00,2020-09-15 14:23:01,1.088s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:01,2020-09-15 14:23:01,0.402s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/waiverTypes""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:01,2020-09-15 14:23:02,0.574s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:02,2020-09-15 14:23:02,0.002s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:02,2020-09-15 14:23:03,0.631s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:03,2020-09-15 14:23:03,0.001s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-15 14:23:03,2020-09-15 14:23:03,0.000s,PASSED
,,,,,,,
