Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Voucher-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-15 14:22:14,2020-09-15 15:08:40,46m - 25.770s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Validate-Pagination,Chrome 85.0.4183.102,,,2020-09-15 14:22:15,2020-09-15 14:23:05,50.539s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:15,2020-09-15 14:22:15,0.007s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:15,2020-09-15 14:22:15,0.004s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:15,2020-09-15 14:22:32,17.537s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-15 14:22:32,2020-09-15 14:22:32,0.011s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:22:32,2020-09-15 14:22:32,0.203s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 3)",Chrome 85.0.4183.102,,,2020-09-15 14:22:32,2020-09-15 14:22:37,4.185s,PASSED
"scrollToPosition(99999, 99999, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-15 14:22:37,2020-09-15 14:22:37,0.020s,PASSED
"verifyElementVisible(findTestObject(""FDR-Dashboard/Pagination/rowsPerPage""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-15 14:22:37,2020-09-15 14:22:37,0.309s,PASSED
"verifyElementText(findTestObject(""FDR-Dashboard/Pagination/listBox""), ""10"")",Chrome 85.0.4183.102,,,2020-09-15 14:22:37,2020-09-15 14:22:37,0.282s,PASSED
"paginationIndicatorText = getText(findTestObject(""FDR-Dashboard/Pagination/paginationIndicator""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:37,2020-09-15 14:22:38,0.264s,PASSED
"totalVouchers = paginationIndicatorText.split(""of "")[1]",Chrome 85.0.4183.102,,,2020-09-15 14:22:38,2020-09-15 14:22:38,0.002s,PASSED
"rowsPerPage = getText(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:38,2020-09-15 14:22:38,0.256s,PASSED
"assert validators.validateDashboardPagination(totalVouchers, rowsPerPage) == true",Chrome 85.0.4183.102,,,2020-09-15 14:22:38,2020-09-15 14:22:38,0.268s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:22:38,2020-09-15 14:22:41,3.247s,PASSED
if (totalVouchers > 10),Chrome 85.0.4183.102,,,2020-09-15 14:22:41,2020-09-15 14:22:49,7.413s,PASSED
"markPassed(""Pagination Validation for 10 rows per page"")",Chrome 85.0.4183.102,,,2020-09-15 14:22:49,2020-09-15 14:22:49,0.001s,PASSED
"scrollToElement(findTestObject(""FDR-Dashboard/Pagination/listBox""), 3)",Chrome 85.0.4183.102,,,2020-09-15 14:22:49,2020-09-15 14:22:49,0.280s,PASSED
"click(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:49,2020-09-15 14:22:49,0.341s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/Pagination/listBox""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:22:49,2020-09-15 14:22:50,0.404s,PASSED
"click(findTestObject(""FDR-Dashboard/Pagination/listbox25""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-15 14:22:50,2020-09-15 14:22:50,0.347s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:22:50,2020-09-15 14:22:53,3.114s,PASSED
"rowsPerPage = getText(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.102,,,2020-09-15 14:22:53,2020-09-15 14:22:53,0.273s,PASSED
"assert validators.validateDashboardPagination(totalVouchers, rowsPerPage) == true",Chrome 85.0.4183.102,,,2020-09-15 14:22:53,2020-09-15 14:22:54,0.239s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:22:54,2020-09-15 14:22:57,3.141s,PASSED
if (totalVouchers > 25),Chrome 85.0.4183.102,,,2020-09-15 14:22:57,2020-09-15 14:23:04,7.618s,PASSED
"markPassed(""Pagination Validation for 25 rows per page"")",Chrome 85.0.4183.102,,,2020-09-15 14:23:04,2020-09-15 14:23:04,0.000s,PASSED
Start tear down : tearDownTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:04,2020-09-15 14:23:04,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:04,2020-09-15 14:23:04,0.001s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:04,2020-09-15 14:23:04,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:04,2020-09-15 14:23:05,0.625s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-15 14:23:05,2020-09-15 14:23:05,0.001s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Error-Validation,Chrome 85.0.4183.102,,,2020-09-15 14:23:05,2020-09-15 14:26:38,3m - 32.927s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:05,2020-09-15 14:23:05,0.001s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:05,2020-09-15 14:23:05,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:05,2020-09-15 14:23:21,15.736s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-15 14:23:21,2020-09-15 14:23:21,0.021s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.102,,,2020-09-15 14:23:21,2020-09-15 14:23:21,0.001s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 8)",Chrome 85.0.4183.102,,,2020-09-15 14:23:21,2020-09-15 14:23:23,1.960s,PASSED
"click(findTestObject(""FDR-Dashboard/createNewVoucherButton""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:23,2020-09-15 14:23:24,0.480s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:23:24,2020-09-15 14:23:27,3.219s,PASSED
vmessage = RandomStringUtils.randomAlphabetic(232),Chrome 85.0.4183.102,,,2020-09-15 14:23:27,2020-09-15 14:23:27,0.011s,PASSED
"setText(findTestObject(""FDR-VoucherEntry/Voucher/vendorMessage""), vmessage)",Chrome 85.0.4183.102,,,2020-09-15 14:23:27,2020-09-15 14:23:34,7.276s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/buttonNext""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:23:34,2020-09-15 14:23:35,0.467s,PASSED
"click(findTestObject(""FDR-VoucherEntry/Voucher/buttonNext""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:35,2020-09-15 14:23:35,0.389s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/VoucherErrorMessages/drawDateErr""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-15 14:23:35,2020-09-15 14:23:36,0.916s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/VoucherErrorMessages/payDateErr""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:36,2020-09-15 14:23:36,0.279s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:36,2020-09-15 14:23:36,0.272s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:36,2020-09-15 14:23:37,0.282s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:37,2020-09-15 14:23:37,0.295s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:37,2020-09-15 14:23:37,0.266s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:37,2020-09-15 14:23:38,0.289s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:38,2020-09-15 14:23:38,0.281s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:38,2020-09-15 14:23:38,0.278s,PASSED
"verifyElementVisible(findTestObject(""FDR-EditVoucher/DLErrorMessages/errorMessage""))",Chrome 85.0.4183.102,,,2020-09-15 14:23:38,2020-09-15 14:23:38,0.276s,PASSED
back(),Chrome 85.0.4183.102,,,2020-09-15 14:23:38,2020-09-15 14:23:39,0.202s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 5)",Chrome 85.0.4183.102,,,2020-09-15 14:23:39,2020-09-15 14:23:45,6.184s,PASSED
"callTestCase(findTestCase(""WEB-UI-TESTS/Voucher/FDR-Create-Simple-Voucher""), [""drawDate"":drawDate, ""payDate"":payDate, ""programType"":programType, ""invoiceType"":invoiceType, ""fundCode"":fundCode, ""supplier"":supplier, ... ], STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-15 14:23:45,2020-09-15 14:25:37,1m - 52.567s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.102,,,2020-09-15 14:25:37,2020-09-15 14:25:42,5.053s,PASSED
"click(findTestObject(""FDR-VoucherEntry/InvoiceLine/invoiceLineExpandButton""))",Chrome 85.0.4183.102,,,2020-09-15 14:25:42,2020-09-15 14:25:43,0.292s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 2)",Chrome 85.0.4183.102,,,2020-09-15 14:25:43,2020-09-15 14:25:46,3.215s,PASSED
"processorVoucherNumber = getText(findTestObject(""FDR-VoucherEntry/VoucherHeader/voucherNum""))",Chrome 85.0.4183.102,,,2020-09-15 14:25:46,2020-09-15 14:25:46,0.278s,PASSED
