Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Receipt-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-18 11:32:34,2020-09-18 11:50:41,18m - 7.134s,FAILED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Create-Receipt-Header,Chrome 85.0.4183.102,,,2020-09-18 11:32:35,2020-09-18 11:33:14,39.029s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:32:35,2020-09-18 11:32:54,19.468s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:32:54,2020-09-18 11:32:54,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:32:54,2020-09-18 11:32:54,0.002s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-18 11:32:54,2020-09-18 11:32:54,0.042s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.102,,,2020-09-18 11:32:54,2020-09-18 11:32:59,5.179s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""), 3)",Chrome 85.0.4183.102,,,2020-09-18 11:32:59,2020-09-18 11:33:00,0.263s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-Dashboard/createNew_ReceiptBatch_Button""))",Chrome 85.0.4183.102,,,2020-09-18 11:33:00,2020-09-18 11:33:00,0.457s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), 3)",Chrome 85.0.4183.102,,,2020-09-18 11:33:00,2020-09-18 11:33:01,0.566s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/inputDrawDate""), Drawdate)",Chrome 85.0.4183.102,,,2020-09-18 11:33:01,2020-09-18 11:33:02,1.134s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), 3)",Chrome 85.0.4183.102,,,2020-09-18 11:33:02,2020-09-18 11:33:02,0.474s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/Edit/payDate""), Paydate)",Chrome 85.0.4183.102,,,2020-09-18 11:33:02,2020-09-18 11:33:03,0.621s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), 10)",Chrome 85.0.4183.102,,,2020-09-18 11:33:03,2020-09-18 11:33:03,0.264s,PASSED
depositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.102,,,2020-09-18 11:33:03,2020-09-18 11:33:03,0.003s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/deposit ID""), depositId)",Chrome 85.0.4183.102,,,2020-09-18 11:33:03,2020-09-18 11:33:04,0.783s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-ReceiptBatch/receiptNotes""), 10)",Chrome 85.0.4183.102,,,2020-09-18 11:33:04,2020-09-18 11:33:05,0.491s,PASSED
"setText(findTestObject(""FDR-Receipt/FDR-ReceiptBatch/receiptNotes""), Receiptnotes)",Chrome 85.0.4183.102,,,2020-09-18 11:33:05,2020-09-18 11:33:05,0.743s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/buttonNext""), 10)",Chrome 85.0.4183.102,,,2020-09-18 11:33:05,2020-09-18 11:33:06,0.464s,PASSED
"click(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/buttonNext""))",Chrome 85.0.4183.102,,,2020-09-18 11:33:06,2020-09-18 11:33:06,0.388s,PASSED
"waitForElementPresent(findTestObject(""FDR-Dashboard/createNewVoucherButton""), 4)",Chrome 85.0.4183.102,,,2020-09-18 11:33:06,2020-09-18 11:33:11,5.189s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/pDrawDate""), 2)",Chrome 85.0.4183.102,,,2020-09-18 11:33:11,2020-09-18 11:33:12,0.256s,PASSED
"if (getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/pDrawDate"")) == findTestData(""Receipt/FDR-ReceiptHeaderTestData"").getValue(1, 1))",Chrome 85.0.4183.102,,,2020-09-18 11:33:12,2020-09-18 11:33:12,0.293s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/payDate""), 2)",Chrome 85.0.4183.102,,,2020-09-18 11:33:12,2020-09-18 11:33:12,0.275s,PASSED
"if (getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/payDate"")) == findTestData(""Receipt/FDR-ReceiptHeaderTestData"").getValue(2, 1))",Chrome 85.0.4183.102,,,2020-09-18 11:33:12,2020-09-18 11:33:12,0.267s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/depositId""), 2)",Chrome 85.0.4183.102,,,2020-09-18 11:33:12,2020-09-18 11:33:13,0.258s,PASSED
"if (getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/depositId"")) == depositId)",Chrome 85.0.4183.102,,,2020-09-18 11:33:13,2020-09-18 11:33:13,0.290s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 85.0.4183.102,,,2020-09-18 11:33:13,2020-09-18 11:33:14,0.596s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:14,2020-09-18 11:33:14,0.007s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:14,2020-09-18 11:33:14,0.000s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:14,2020-09-18 11:33:14,0.002s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-18 11:33:14,2020-09-18 11:33:14,0.001s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Display-Receipt-Header,Chrome 85.0.4183.102,,,2020-09-18 11:33:14,2020-09-18 11:33:46,32.808s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:14,2020-09-18 11:33:29,15.256s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:29,2020-09-18 11:33:29,0.000s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:29,2020-09-18 11:33:29,0.001s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-18 11:33:29,2020-09-18 11:33:29,0.003s,PASSED
newDepositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.102,,,2020-09-18 11:33:29,2020-09-18 11:33:29,0.001s,PASSED
"editors.createReceipt(Drawdate, Paydate, newDepositId, Receiptnotes)",Chrome 85.0.4183.102,,,2020-09-18 11:33:29,2020-09-18 11:33:44,14.583s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/depositId""), 10)",Chrome 85.0.4183.102,,,2020-09-18 11:33:44,2020-09-18 11:33:44,0.857s,PASSED
"depositId = getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/depositId""))",Chrome 85.0.4183.102,,,2020-09-18 11:33:44,2020-09-18 11:33:45,0.272s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/pDrawDate""), 2)",Chrome 85.0.4183.102,,,2020-09-18 11:33:45,2020-09-18 11:33:45,0.251s,PASSED
"drawDate = getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/pDrawDate""))",Chrome 85.0.4183.102,,,2020-09-18 11:33:45,2020-09-18 11:33:45,0.274s,PASSED
"waitForElementPresent(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/payDate""), 2)",Chrome 85.0.4183.102,,,2020-09-18 11:33:45,2020-09-18 11:33:45,0.259s,PASSED
"payDate = getText(findTestObject(""FDR-Receipt/FDR-Receipt-Header/View/payDate""))",Chrome 85.0.4183.102,,,2020-09-18 11:33:45,2020-09-18 11:33:46,0.278s,PASSED
"println("" DepositId  "" + depositId + ""  DrawDate  "" + drawDate + ""  Paydate  "" + payDate)",Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:33:46,0.003s,PASSED
closeBrowser(CONTINUE_ON_FAILURE),Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:33:46,0.592s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:33:46,0.006s,PASSED
Start listener action : afterTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:33:46,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:33:46,0.000s,PASSED
Start listener action : addFailedTCToList,Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:33:46,0.001s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/Receipt/FDR-Edit-Receipt-Header,Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:34:28,41.890s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:33:46,2020-09-18 11:34:02,15.462s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:34:02,2020-09-18 11:34:02,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:34:02,2020-09-18 11:34:02,0.000s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-18 11:34:02,2020-09-18 11:34:02,0.002s,PASSED
newDepositId = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.102,,,2020-09-18 11:34:02,2020-09-18 11:34:02,0.000s,PASSED
newDepositId2 = RandomStringUtils.randomNumeric(7),Chrome 85.0.4183.102,,,2020-09-18 11:34:02,2020-09-18 11:34:02,0.001s,PASSED
"editors.createReceipt(Drawdate, Paydate, newDepositId, Receiptnotes)",Chrome 85.0.4183.102,,,2020-09-18 11:34:02,2020-09-18 11:34:17,14.767s,PASSED
