Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Voucher-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-18 10:42:12,2020-09-18 11:32:20,50m - 7.313s,ERROR
,,,,,,,
Test Cases/WEB-UI-TESTS/Voucher/FDR-Validate-Pagination,Chrome 85.0.4183.102,,,2020-09-18 10:42:13,2020-09-18 10:43:02,49.127s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 10:42:13,2020-09-18 10:42:13,0.005s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 10:42:13,2020-09-18 10:42:13,0.002s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 10:42:13,2020-09-18 10:42:30,17.049s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-18 10:42:30,2020-09-18 10:42:30,0.020s,PASSED
Start setup action : setupTestCase,Chrome 85.0.4183.102,,,2020-09-18 10:42:30,2020-09-18 10:42:30,0.142s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 3)",Chrome 85.0.4183.102,,,2020-09-18 10:42:30,2020-09-18 10:42:34,4.063s,PASSED
"scrollToPosition(99999, 99999, STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-18 10:42:34,2020-09-18 10:42:34,0.022s,PASSED
"verifyElementVisible(findTestObject(""FDR-Dashboard/Pagination/rowsPerPage""), STOP_ON_FAILURE)",Chrome 85.0.4183.102,,,2020-09-18 10:42:34,2020-09-18 10:42:34,0.290s,PASSED
"verifyElementText(findTestObject(""FDR-Dashboard/Pagination/listBox""), ""10"")",Chrome 85.0.4183.102,,,2020-09-18 10:42:34,2020-09-18 10:42:35,0.277s,PASSED
"paginationIndicatorText = getText(findTestObject(""FDR-Dashboard/Pagination/paginationIndicator""))",Chrome 85.0.4183.102,,,2020-09-18 10:42:35,2020-09-18 10:42:35,0.284s,PASSED
"totalVouchers = paginationIndicatorText.split(""of "")[1]",Chrome 85.0.4183.102,,,2020-09-18 10:42:35,2020-09-18 10:42:35,0.001s,PASSED
"rowsPerPage = getText(findTestObject(""FDR-Dashboard/Pagination/listBox""))",Chrome 85.0.4183.102,,,2020-09-18 10:42:35,2020-09-18 10:42:35,0.266s,PASSED
"assert validators.validateDashboardPagination(totalVouchers, rowsPerPage) == true",Chrome 85.0.4183.102,,,2020-09-18 10:42:35,2020-09-18 10:42:35,0.246s,PASSED
"waitForElementPresent(findTestObject(""FDR-VoucherEntry/Voucher/voucherText""), 2)",Chrome 85.0.4183.102,,,2020-09-18 10:42:35,2020-09-18 10:42:38,3.088s,PASSED
if (totalVouchers > 10),Chrome 85.0.4183.102,,,2020-09-18 10:42:38,2020-09-18 10:42:46,7.233s,PASSED
"markPassed(""Pagination Validation for 10 rows per page"")",Chrome 85.0.4183.102,,,2020-09-18 10:42:46,2020-09-18 10:42:46,0.001s,PASSED
