Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SystemAdmin-Integration_Suite,Chrome 85.0.4183.102,,,2020-09-18 11:54:57,2020-09-18 12:08:27,13m - 30.097s,PASSED
,,,,,,,
Test Cases/WEB-UI-TESTS/SysAdmin/ReferencePage/FDR-SystemAdmin-Populate-Details,Chrome 85.0.4183.102,https://ca-mmisds.atlassian.net/browse/FDR-2569,,2020-09-18 11:54:58,2020-09-18 11:55:49,51.118s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:54:58,2020-09-18 11:54:58,0.008s,PASSED
Start listener action : beforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:54:58,2020-09-18 11:55:20,22.514s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 85.0.4183.102,,,2020-09-18 11:55:20,2020-09-18 11:55:20,0.013s,PASSED
Start listener action : executeRows,Chrome 85.0.4183.102,,,2020-09-18 11:55:20,2020-09-18 11:55:20,0.014s,PASSED
"taskName = ""Reference Data""",Chrome 85.0.4183.102,,,2020-09-18 11:55:20,2020-09-18 11:55:20,0.000s,PASSED
"verifyElementText(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataTxt""), taskName)",Chrome 85.0.4183.102,,,2020-09-18 11:55:20,2020-09-18 11:55:21,0.307s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/SysAdmin-Dashboard/maintainReferenceDataBtn""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:21,2020-09-18 11:55:21,0.372s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/reference-data""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:21,2020-09-18 11:55:21,0.544s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/account""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:21,2020-09-18 11:55:22,0.587s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:22,2020-09-18 11:55:23,0.790s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:23,2020-09-18 11:55:23,0.317s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/altAccount""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:23,2020-09-18 11:55:24,0.558s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:24,2020-09-18 11:55:25,0.889s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:25,2020-09-18 11:55:25,0.288s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contact""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:25,2020-09-18 11:55:25,0.553s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:25,2020-09-18 11:55:26,0.872s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:26,2020-09-18 11:55:27,0.330s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/contract""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:27,2020-09-18 11:55:27,0.564s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:27,2020-09-18 11:55:28,0.903s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:28,2020-09-18 11:55:28,0.276s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fdrAppropriationReference""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:28,2020-09-18 11:55:29,0.537s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:29,2020-09-18 11:55:30,0.884s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:30,2020-09-18 11:55:30,0.304s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fundCode""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:30,2020-09-18 11:55:31,0.557s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:31,2020-09-18 11:55:32,0.870s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:32,2020-09-18 11:55:32,0.320s,PASSED
"click(findTestObject(""FDR-System-Admin/FDR-ReferencePage/fund""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:32,2020-09-18 11:55:32,0.570s,PASSED
"setText(findTestObject(""FDR-System-Admin/FDR-ReferencePage/referenceDataNameInput""), """")",Chrome 85.0.4183.102,,,2020-09-18 11:55:32,2020-09-18 11:55:33,0.898s,PASSED
"click(findTestObject(""Object Repository/FDR-System-Admin/FDR-ReferencePage/referenceDataDropdown""))",Chrome 85.0.4183.102,,,2020-09-18 11:55:33,2020-09-18 11:55:34,0.292s,PASSED
